x	y
6.187301	0.1130024
6.254191	-0.0866525
6.321081	-0.04002549
6.38797	0.06545433
6.45486	0.2341784
6.52175	0.147881
6.58864	0.3168905
6.655529	0.3306913
6.722419	0.4444226
6.789309	0.4314846
6.856199	0.556797
6.923089	0.6569726
6.989978	0.6807016
7.056868	0.8394688
7.123758	0.7820054
7.190648	0.9175261
7.257537	0.8519624
7.324427	0.8024172
7.391317	1.018141
7.458207	0.9515251
7.525096	0.9295496
7.591986	1.19243
7.658876	0.9172711
7.725766	0.8105988
7.792655	0.9194038
7.859545	0.9402381
7.926435	0.8898048
7.993325	1.070378
8.060214	1.055657
8.127104	0.7681565
8.193994	0.8594469
8.260883	0.8392678
8.327773	0.8216794
8.394663	0.8566747
8.461553	0.8845088
8.528442	0.9368995
8.595332	0.8133361
8.662222	0.6637302
8.729112	0.6748089
8.796001	0.6382878
8.862891	0.6080244
8.929781	0.4151424
8.996671	0.320093
9.06356	0.3244146
9.13045	0.349261
9.19734	0.2176666
9.26423	0.1678036
9.33112	-0.1397826
9.398009	0.172562
9.464899	-0.06057934
9.531789	-0.1085687
9.598679	-0.09429195
9.665568	-0.1575312
9.732458	-0.1332967
9.799348	-0.4884961
9.866238	-0.5169231
9.933127	-0.3237745
10.00002	-0.5107086
